"","gene_short_name","feature"
"CCDC50","CCDC50","NA"
"AC073365.1","AC073365.1","NA"
"PYDC2","PYDC2","NA"
"AC026320.1","AC026320.1","NA"
"FGF12","FGF12","NA"
"FGF12.AS1","FGF12-AS1","NA"
"FGF12.AS2","FGF12-AS2","NA"
"FGF12.AS3","FGF12-AS3","NA"
"MB21D2","MB21D2","NA"
"AC092966.1","AC092966.1","NA"
"HRASLS","HRASLS","NA"
"ATP13A5","ATP13A5","NA"
"ATP13A5.AS1","ATP13A5-AS1","NA"
"ATP13A4","ATP13A4","NA"
"ATP13A4.AS1","ATP13A4-AS1","NA"
"OPA1","OPA1","NA"
"OPA1.AS1","OPA1-AS1","NA"
"LINC02038","LINC02038","NA"
"LINC02026","LINC02026","NA"
"AC024559.1","AC024559.1","NA"
"AC024559.2","AC024559.2","NA"
"AC080129.1","AC080129.1","NA"
"AC080129.2","AC080129.2","NA"
"HES1","HES1","NA"
"LINC02036","LINC02036","NA"
"LINC02037","LINC02037","NA"
"LINC02048","LINC02048","NA"
"LINC00887","LINC00887","NA"
"CPN2","CPN2","NA"
"LRRC15","LRRC15","NA"
"GP5","GP5","NA"
"ATP13A3","ATP13A3","NA"
"LINC00884","LINC00884","NA"
"TMEM44.AS1","TMEM44-AS1","NA"
"TMEM44","TMEM44","NA"
"AC046143.1","AC046143.1","NA"
"AC046143.2","AC046143.2","NA"
"LSG1","LSG1","NA"
"FAM43A","FAM43A","NA"
"AC106706.1","AC106706.1","NA"
"LINC01968","LINC01968","NA"
"LINC01972","LINC01972","NA"
"AC090505.2","AC090505.2","NA"
"XXYLT1","XXYLT1","NA"
"XXYLT1.AS1","XXYLT1-AS1","NA"
"XXYLT1.AS2","XXYLT1-AS2","NA"
"ACAP2","ACAP2","NA"
"PPP1R2","PPP1R2","NA"
"AC069213.1","AC069213.1","NA"
"APOD","APOD","NA"
"AC233280.1","AC233280.1","NA"
"MUC20.OT1","MUC20-OT1","NA"
"MUC20","MUC20","NA"
"MUC4","MUC4","NA"
"LINC01983","LINC01983","NA"
"TNK2","TNK2","NA"
"TNK2.AS1","TNK2-AS1","NA"
"AC124944.1","AC124944.1","NA"
"TFRC","TFRC","NA"
"LINC00885","LINC00885","NA"
"ZDHHC19","ZDHHC19","NA"
"SLC51A","SLC51A","NA"
"PCYT1A","PCYT1A","NA"
"AC069257.3","AC069257.3","NA"
"AC069257.1","AC069257.1","NA"
"TCTEX1D2","TCTEX1D2","NA"
"TM4SF19.TCTEX1D2","TM4SF19-TCTEX1D2","NA"
"TM4SF19.AS1","TM4SF19-AS1","NA"
"TM4SF19","TM4SF19","NA"
"UBXN7","UBXN7","NA"
"UBXN7.AS1","UBXN7-AS1","NA"
"RNF168","RNF168","NA"
"AC117490.2","AC117490.2","NA"
"SMCO1","SMCO1","NA"
"WDR53","WDR53","NA"
"FBXO45","FBXO45","NA"
"LINC01063","LINC01063","NA"
"NRROS","NRROS","NA"
"PIGX","PIGX","NA"
"CEP19","CEP19","NA"
"PAK2","PAK2","NA"
"SENP5","SENP5","NA"
"NCBP2","NCBP2","NA"
"NCBP2.AS1","NCBP2-AS1","NA"
"NCBP2.AS2","NCBP2-AS2","NA"
"PIGZ","PIGZ","NA"
"MELTF","MELTF","NA"
"MELTF.AS1","MELTF-AS1","NA"
"DLG1","DLG1","NA"
"DLG1.AS1","DLG1-AS1","NA"
"AC128709.2","AC128709.2","NA"
"AC128709.1","AC128709.1","NA"
"AC128709.3","AC128709.3","NA"
"LINC02012","LINC02012","NA"
"BDH1","BDH1","NA"
"AC024560.3","AC024560.3","NA"
"AC024560.1","AC024560.1","NA"
"RUBCN","RUBCN","NA"
"FYTTD1","FYTTD1","NA"
"AC055764.2","AC055764.2","NA"
"LRCH3","LRCH3","NA"
"AC055764.1","AC055764.1","NA"
"IQCG","IQCG","NA"
"RPL35A","RPL35A","NA"
"LMLN","LMLN","NA"
"LMLN.AS1","LMLN-AS1","NA"
"ZNF595","ZNF595","NA"
"ZNF718","ZNF718","NA"
"ZNF732","ZNF732","NA"
"ZNF141","ZNF141","NA"
"AC092574.2","AC092574.2","NA"
"AC092574.1","AC092574.1","NA"
"ZNF721","ZNF721","NA"
"PIGG","PIGG","NA"
"AC116565.1","AC116565.1","NA"
"AC116565.2","AC116565.2","NA"
"PDE6B","PDE6B","NA"
"AC107464.1","AC107464.1","NA"
"AC107464.3","AC107464.3","NA"
"ATP5ME","ATP5ME","NA"
"MYL5","MYL5","NA"
"SLC49A3","SLC49A3","NA"
"PCGF3","PCGF3","NA"
"AC107464.2","AC107464.2","NA"
"AC139887.4","AC139887.4","NA"
"AC139887.2","AC139887.2","NA"
"AC139887.1","AC139887.1","NA"
"CPLX1","CPLX1","NA"
"AC139887.3","AC139887.3","NA"
"GAK","GAK","NA"
"TMEM175","TMEM175","NA"
"DGKQ","DGKQ","NA"
"SLC26A1","SLC26A1","NA"
"IDUA","IDUA","NA"
"FGFRL1","FGFRL1","NA"
"AC019103.1","AC019103.1","NA"
"RNF212","RNF212","NA"
"AC092535.3","AC092535.3","NA"
"AC092535.1","AC092535.1","NA"
"SPON2","SPON2","NA"
"AC092535.4","AC092535.4","NA"
"CTBP1.AS","CTBP1-AS","NA"
"CTBP1","CTBP1","NA"
"CTBP1.DT","CTBP1-DT","NA"
"MAEA","MAEA","NA"
"UVSSA","UVSSA","NA"
"NKX1.1","NKX1-1","NA"
"AC147067.2","AC147067.2","NA"
"AC147067.1","AC147067.1","NA"
"FAM53A","FAM53A","NA"
"SLBP","SLBP","NA"
"AC016773.1","AC016773.1","NA"
"TMEM129","TMEM129","NA"
"TACC3","TACC3","NA"
"FGFR3","FGFR3","NA"
"LETM1","LETM1","NA"
"NSD2","NSD2","NA"
"NELFA","NELFA","NA"
"C4orf48","C4ORF48","NA"
"NAT8L","NAT8L","NA"
"POLN","POLN","NA"
"AL136360.2","AL136360.2","NA"
"HAUS3","HAUS3","NA"
"MXD4","MXD4","NA"
"ZFYVE28","ZFYVE28","NA"
"AL158068.2","AL158068.2","NA"
"CFAP99","CFAP99","NA"
"RNF4","RNF4","NA"
"FAM193A","FAM193A","NA"
"TNIP2","TNIP2","NA"
"SH3BP2","SH3BP2","NA"
"ADD1","ADD1","NA"
"MFSD10","MFSD10","NA"
"NOP14.AS1","NOP14-AS1","NA"
"NOP14","NOP14","NA"
"GRK4","GRK4","NA"
"HTT.AS","HTT-AS","NA"
"HTT","HTT","NA"
"MSANTD1","MSANTD1","NA"
"RGS12","RGS12","NA"
"HGFAC","HGFAC","NA"
"DOK7","DOK7","NA"
"LRPAP1","LRPAP1","NA"
"AL590235.2","AL590235.2","NA"
"AL121796.1","AL121796.1","NA"
"LINC02171","LINC02171","NA"
"AC141928.1","AC141928.1","NA"
"ADRA2C","ADRA2C","NA"
"OTOP1","OTOP1","NA"
"TMEM128","TMEM128","NA"
"LYAR","LYAR","NA"
"ZBTB49","ZBTB49","NA"
"AC105415.1","AC105415.1","NA"
"NSG1","NSG1","NA"
"STX18","STX18","NA"
"STX18.AS1","STX18-AS1","NA"
"LINC01396","LINC01396","NA"
"MSX1","MSX1","NA"
"CYTL1","CYTL1","NA"
"STK32B","STK32B","NA"
"EVC2","EVC2","NA"
"EVC","EVC","NA"
"CRMP1","CRMP1","NA"
"C4orf50","C4ORF50","NA"
"JAKMIP1","JAKMIP1","NA"
"AC092442.1","AC092442.1","NA"
"AC113615.1","AC113615.1","NA"
"WFS1","WFS1","NA"
"PPP2R2C","PPP2R2C","NA"
"MAN2B2","MAN2B2","NA"
"MRFAP1","MRFAP1","NA"
"LINC02482","LINC02482","NA"
"AC093323.1","AC093323.1","NA"
"LINC002481","LINC002481","NA"
"S100P","S100P","NA"
"MRFAP1L1","MRFAP1L1","NA"
"BLOC1S4","BLOC1S4","NA"
"KIAA0232","KIAA0232","NA"
"TBC1D14","TBC1D14","NA"
"AC097382.2","AC097382.2","NA"
"CCDC96","CCDC96","NA"
"TADA2B","TADA2B","NA"
"GRPEL1","GRPEL1","NA"
"LINC02447","LINC02447","NA"
"SORCS2","SORCS2","NA"
"PSAPL1","PSAPL1","NA"
"AFAP1.AS1","AFAP1-AS1","NA"
"AFAP1","AFAP1","NA"
"AC097381.1","AC097381.1","NA"
"ABLIM2","ABLIM2","NA"
"AC097381.3","AC097381.3","NA"
"AC097381.2","AC097381.2","NA"
"SH3TC1","SH3TC1","NA"
"HTRA3","HTRA3","NA"
"LINC02517","LINC02517","NA"
"AC104825.1","AC104825.1","NA"
"ACOX3","ACOX3","NA"
"TRMT44","TRMT44","NA"
"AC105345.2","AC105345.2","NA"
"AC105345.1","AC105345.1","NA"
"GPR78","GPR78","NA"
"CPZ","CPZ","NA"
"AC209005.1","AC209005.1","NA"
"HMX1","HMX1","NA"
"FAM90A26","FAM90A26","NA"
"USP17L10","USP17L10","NA"
"USP17L11","USP17L11","NA"
"USP17L12","USP17L12","NA"
"USP17L13","USP17L13","NA"
"USP17L15","USP17L15","NA"
"USP17L17","USP17L17","NA"
"USP17L18","USP17L18","NA"
"USP17L19","USP17L19","NA"
"USP17L20","USP17L20","NA"
"USP17L21","USP17L21","NA"
"USP17L22","USP17L22","NA"
"USP17L23","USP17L23","NA"
"USP17L24","USP17L24","NA"
"USP17L25","USP17L25","NA"
"USP17L26","USP17L26","NA"
"USP17L5","USP17L5","NA"
"USP17L27","USP17L27","NA"
"USP17L28","USP17L28","NA"
"USP17L29","USP17L29","NA"
"USP17L30","USP17L30","NA"
"DEFB131A","DEFB131A","NA"
"SLC2A9","SLC2A9","NA"
"DRD5","DRD5","NA"
"AC108199.1","AC108199.1","NA"
"AC005674.1","AC005674.1","NA"
"WDR1","WDR1","NA"
"ZNF518B","ZNF518B","NA"
"CLNK","CLNK","NA"
"AC084048.1","AC084048.1","NA"
"LINC02498","LINC02498","NA"
"HS3ST1","HS3ST1","NA"
"AC025539.1","AC025539.1","NA"
"AC005699.1","AC005699.1","NA"
"LINC02360","LINC02360","NA"
"AC108037.1","AC108037.1","NA"
"LINC02270","LINC02270","NA"
"AC007370.2","AC007370.2","NA"
"AC007370.1","AC007370.1","NA"
"RAB28","RAB28","NA"
"LINC01097","LINC01097","NA"
"NKX3.2","NKX3-2","NA"
"LINC01096","LINC01096","NA"
"BOD1L1","BOD1L1","NA"
"LINC01182","LINC01182","NA"
"AC007126.1","AC007126.1","NA"
"AC073848.1","AC073848.1","NA"
"AC092546.1","AC092546.1","NA"
"AC006296.2","AC006296.2","NA"
"AC006296.1","AC006296.1","NA"
"LINC00504","LINC00504","NA"
"CPEB2.DT","CPEB2-DT","NA"
"CPEB2","CPEB2","NA"
"AC098829.1","AC098829.1","NA"
"C1QTNF7","C1QTNF7","NA"
"AC099550.1","AC099550.1","NA"
"CC2D2A","CC2D2A","NA"
"AC116651.1","AC116651.1","NA"
"FBXL5","FBXL5","NA"
"FAM200B","FAM200B","NA"
"BST1","BST1","NA"
"CD38","CD38","NA"
"FGFBP1","FGFBP1","NA"
"FGFBP2","FGFBP2","NA"
"PROM1","PROM1","NA"
"TAPT1","TAPT1","NA"
"AC108063.1","AC108063.1","NA"
"TAPT1.AS1","TAPT1-AS1","NA"
"AC097515.1","AC097515.1","NA"
"LDB2","LDB2","NA"
"AC106894.1","AC106894.1","NA"
"LINC02493","LINC02493","NA"
"QDPR","QDPR","NA"
"CLRN2","CLRN2","NA"
"LAP3","LAP3","NA"
"AC006160.1","AC006160.1","NA"
"MED28","MED28","NA"
"FAM184B","FAM184B","NA"
"DCAF16","DCAF16","NA"
"NCAPG","NCAPG","NA"
"LCORL","LCORL","NA"
"AC093871.1","AC093871.1","NA"
"LINC02438","LINC02438","NA"
"AC024230.1","AC024230.1","NA"
"AC110767.1","AC110767.1","NA"
"SLIT2","SLIT2","NA"
"PACRGL","PACRGL","NA"
"KCNIP4","KCNIP4","NA"
"AC097505.1","AC097505.1","NA"
"AC110296.1","AC110296.1","NA"
"AC096576.3","AC096576.3","NA"
"AC096576.2","AC096576.2","NA"
"KCNIP4.IT1","KCNIP4-IT1","NA"
"AC096719.1","AC096719.1","NA"
"ADGRA3","ADGRA3","NA"
"AC097512.1","AC097512.1","NA"
"AC114912.1","AC114912.1","NA"
"AC092440.1","AC092440.1","NA"
"AC093607.1","AC093607.1","NA"
"ERVH.1","ERVH-1","NA"
"PPARGC1A","PPARGC1A","NA"
"AC092834.1","AC092834.1","NA"
"DHX15","DHX15","NA"
"LINC02473","LINC02473","NA"
"SOD3","SOD3","NA"
"CCDC149","CCDC149","NA"
"LGI2","LGI2","NA"
"SEPSECS","SEPSECS","NA"
"SEPSECS.AS1","SEPSECS-AS1","NA"
"AC104662.2","AC104662.2","NA"
"AC104662.1","AC104662.1","NA"
"PI4K2B","PI4K2B","NA"
"ZCCHC4","ZCCHC4","NA"
"ANAPC4","ANAPC4","NA"
"AC092436.2","AC092436.2","NA"
"SLC34A2","SLC34A2","NA"
"SEL1L3","SEL1L3","NA"
"AC092436.4","AC092436.4","NA"
"SMIM20","SMIM20","NA"
"AC133961.1","AC133961.1","NA"
"LINC02357","LINC02357","NA"
"RBPJ","RBPJ","NA"
"CCKAR","CCKAR","NA"
"TBC1D19","TBC1D19","NA"
"STIM2","STIM2","NA"
"AC106047.1","AC106047.1","NA"
"AC024132.2","AC024132.2","NA"
"AC024132.1","AC024132.1","NA"
"LINC02261","LINC02261","NA"
"AC024132.3","AC024132.3","NA"
"AC007106.1","AC007106.1","NA"
"AC109588.1","AC109588.1","NA"
"AC097480.1","AC097480.1","NA"
"LINC02364","LINC02364","NA"
"AC068944.1","AC068944.1","NA"
"AC109349.1","AC109349.1","NA"
"LINC02472","LINC02472","NA"
"PCDH7","PCDH7","NA"
"AC097716.1","AC097716.1","NA"
"LINC02497","LINC02497","NA"
"AC104071.1","AC104071.1","NA"
"LINC02501","LINC02501","NA"
"LINC02506","LINC02506","NA"
"LINC02353","LINC02353","NA"
"AC097535.1","AC097535.1","NA"
"AC016687.3","AC016687.3","NA"
"AC016687.2","AC016687.2","NA"
"LINC02484","LINC02484","NA"
"AC093689.1","AC093689.1","NA"
"ARAP2","ARAP2","NA"
"AC104078.1","AC104078.1","NA"
"DTHD1","DTHD1","NA"
"AC104078.2","AC104078.2","NA"
"LINC02505","LINC02505","NA"
"AL136537.1","AL136537.1","NA"
"NWD2","NWD2","NA"
"C4orf19","C4ORF19","NA"
"AC027607.1","AC027607.1","NA"
"RELL1","RELL1","NA"
"PGM2","PGM2","NA"
"TBC1D1","TBC1D1","NA"
"PTTG2","PTTG2","NA"
"AC098680.1","AC098680.1","NA"
"LINC02513","LINC02513","NA"
"LINC01258","LINC01258","NA"
"LINC01259","LINC01259","NA"
"LINC02278","LINC02278","NA"
"AC021860.1","AC021860.1","NA"
"KLF3","KLF3","NA"
"TLR10","TLR10","NA"
"TLR1","TLR1","NA"
"TLR6","TLR6","NA"
"FAM114A1","FAM114A1","NA"
"TMEM156","TMEM156","NA"
"KLHL5","KLHL5","NA"
"AC079921.1","AC079921.1","NA"
"AC079921.2","AC079921.2","NA"
"WDR19","WDR19","NA"
"RFC1","RFC1","NA"
"KLB","KLB","NA"
"RPL9","RPL9","NA"
"LIAS","LIAS","NA"
"UGDH","UGDH","NA"
"UGDH.AS1","UGDH-AS1","NA"
"SMIM14","SMIM14","NA"
"AC108471.2","AC108471.2","NA"
"UBE2K","UBE2K","NA"
"PDS5A","PDS5A","NA"
"N4BP2","N4BP2","NA"
"RHOH","RHOH","NA"
"AC095057.2","AC095057.2","NA"
"LINC02265","LINC02265","NA"
"CHRNA9","CHRNA9","NA"
"RBM47","RBM47","NA"
"AC098869.2","AC098869.2","NA"
"NSUN7","NSUN7","NA"
"APBB2","APBB2","NA"
"AC131953.1","AC131953.1","NA"
"UCHL1.AS1","UCHL1-AS1","NA"
"UCHL1","UCHL1","NA"
"LIMCH1","LIMCH1","NA"
"AC105389.2","AC105389.2","NA"
"PHOX2B","PHOX2B","NA"
"AC105389.3","AC105389.3","NA"
"AC105389.1","AC105389.1","NA"
"LINC00682","LINC00682","NA"
"AC108210.1","AC108210.1","NA"
"TMEM33","TMEM33","NA"
"DCAF4L1","DCAF4L1","NA"
"AC106052.1","AC106052.1","NA"
"SLC30A9","SLC30A9","NA"
"BEND4","BEND4","NA"
"AC111006.1","AC111006.1","NA"
"AC024022.1","AC024022.1","NA"
"SHISA3","SHISA3","NA"
"ATP8A1","ATP8A1","NA"
"AC096734.2","AC096734.2","NA"
"AC096734.1","AC096734.1","NA"
"GRXCR1","GRXCR1","NA"
"AC111198.1","AC111198.1","NA"
"LINC02383","LINC02383","NA"
"AC110799.1","AC110799.1","NA"
"LINC02475","LINC02475","NA"
"KCTD8","KCTD8","NA"
"YIPF7","YIPF7","NA"
"GUF1","GUF1","NA"
"GNPDA2","GNPDA2","NA"
"AC096586.2","AC096586.2","NA"
"AC096586.1","AC096586.1","NA"
"AC108467.1","AC108467.1","NA"
"GABRG1","GABRG1","NA"
"GABRA2","GABRA2","NA"
"AC095060.1","AC095060.1","NA"
"COX7B2","COX7B2","NA"
"GABRA4","GABRA4","NA"
"GABRB1","GABRB1","NA"
"COMMD8","COMMD8","NA"
"ATP10D","ATP10D","NA"
"AC107398.2","AC107398.2","NA"
"CORIN","CORIN","NA"
"AC107068.2","AC107068.2","NA"
"AC107068.1","AC107068.1","NA"
"NFXL1","NFXL1","NA"
"NIPAL1","NIPAL1","NA"
"CNGA1","CNGA1","NA"
"TXK","TXK","NA"
"TEC","TEC","NA"
"SLAIN2","SLAIN2","NA"
"SLC10A4","SLC10A4","NA"
"ZAR1","ZAR1","NA"
"FRYL","FRYL","NA"
"OCIAD1","OCIAD1","NA"
"OCIAD1.AS1","OCIAD1-AS1","NA"
"OCIAD2","OCIAD2","NA"
"CWH43","CWH43","NA"
"DCUN1D4","DCUN1D4","NA"
"AC027271.1","AC027271.1","NA"
"LRRC66","LRRC66","NA"
"SGCB","SGCB","NA"
"LINC02480","LINC02480","NA"
"SPATA18","SPATA18","NA"
"USP46","USP46","NA"
"USP46.AS1","USP46-AS1","NA"
"AC104066.2","AC104066.2","NA"
"ERVMER34.1","ERVMER34-1","NA"
"LINC01618","LINC01618","NA"
"RASL11B","RASL11B","NA"
"SCFD2","SCFD2","NA"
"AC023154.1","AC023154.1","NA"
"FIP1L1","FIP1L1","NA"
"AC058822.1","AC058822.1","NA"
"LNX1","LNX1","NA"
"LNX1.AS1","LNX1-AS1","NA"
"AC110792.3","AC110792.3","NA"
"CHIC2","CHIC2","NA"
"AC110792.2","AC110792.2","NA"
"GSX2","GSX2","NA"
"PDGFRA","PDGFRA","NA"
"LINC02283","LINC02283","NA"
"AC098587.1","AC098587.1","NA"
"AC098868.1","AC098868.1","NA"
"LINC02260","LINC02260","NA"
"KIT","KIT","NA"
"AC097494.1","AC097494.1","NA"
"LINC02358","LINC02358","NA"
"AC111194.1","AC111194.1","NA"
"AC111194.2","AC111194.2","NA"
"KDR","KDR","NA"
"SRD5A3","SRD5A3","NA"
"AC069200.1","AC069200.1","NA"
"TMEM165","TMEM165","NA"
"CLOCK","CLOCK","NA"
"AC024243.1","AC024243.1","NA"
"PDCL2","PDCL2","NA"
"NMU","NMU","NA"
"EXOC1L","EXOC1L","NA"
"EXOC1","EXOC1","NA"
"CEP135","CEP135","NA"
"KIAA1211","KIAA1211","NA"
"AASDH","AASDH","NA"
"AC068620.1","AC068620.1","NA"
"PPAT","PPAT","NA"
"AC068620.2","AC068620.2","NA"
"PAICS","PAICS","NA"
"SRP72","SRP72","NA"
"ARL9","ARL9","NA"
"THEGL","THEGL","NA"
"HOPX","HOPX","NA"
"SPINK2","SPINK2","NA"
"REST","REST","NA"
"AC069307.1","AC069307.1","NA"
"NOA1","NOA1","NA"
"POLR2B","POLR2B","NA"
"IGFBP7","IGFBP7","NA"
"IGFBP7.AS1","IGFBP7-AS1","NA"
"AC105390.1","AC105390.1","NA"
"LINC02380","LINC02380","NA"
"AC013724.1","AC013724.1","NA"
"AC107396.1","AC107396.1","NA"
"AC093725.2","AC093725.2","NA"
"AC093725.1","AC093725.1","NA"
"LINC02494","LINC02494","NA"
"AC019133.1","AC019133.1","NA"
"AC017091.1","AC017091.1","NA"
"LINC02429","LINC02429","NA"
"AC097501.2","AC097501.2","NA"
"AC108517.1","AC108517.1","NA"
"AC096588.1","AC096588.1","NA"
"AC093857.1","AC093857.1","NA"
"LINC02496","LINC02496","NA"
"LINC02271","LINC02271","NA"
"ADGRL3","ADGRL3","NA"
"AC020741.1","AC020741.1","NA"
"ADGRL3.AS1","ADGRL3-AS1","NA"
"AC097491.1","AC097491.1","NA"
"AC093730.1","AC093730.1","NA"
"TECRL","TECRL","NA"
"LINC02232","LINC02232","NA"
"EPHA5","EPHA5","NA"
"EPHA5.AS1","EPHA5-AS1","NA"
"AC104137.1","AC104137.1","NA"
"AC097110.1","AC097110.1","NA"
"AC116049.2","AC116049.2","NA"
"AC096721.1","AC096721.1","NA"
"AC104806.2","AC104806.2","NA"
"CENPC","CENPC","NA"
"STAP1","STAP1","NA"
"UBA6","UBA6","NA"
"UBA6.AS1","UBA6-AS1","NA"
"GNRHR","GNRHR","NA"
"TMPRSS11D","TMPRSS11D","NA"
"TMPRSS11A","TMPRSS11A","NA"
"TMPRSS11F","TMPRSS11F","NA"
"TMPRSS11B","TMPRSS11B","NA"
"YTHDC1","YTHDC1","NA"
"TMPRSS11E","TMPRSS11E","NA"
"UGT2B17","UGT2B17","NA"
"UGT2B15","UGT2B15","NA"
"UGT2B10","UGT2B10","NA"
"AC021146.12","AC021146.12","NA"
"UGT2A3","UGT2A3","NA"
"UGT2B7","UGT2B7","NA"
"AC111000.4","AC111000.4","NA"
"UGT2B11","UGT2B11","NA"
"UGT2B28","UGT2B28","NA"
"UGT2B4","UGT2B4","NA"
"UGT2A1","UGT2A1","NA"
"UGT2A2","UGT2A2","NA"
"SULT1B1","SULT1B1","NA"
"AC108941.2","AC108941.2","NA"
"SULT1E1","SULT1E1","NA"
"CSN1S1","CSN1S1","NA"
"CSN2","CSN2","NA"
"STATH","STATH","NA"
"HTN3","HTN3","NA"
"HTN1","HTN1","NA"
"PRR27","PRR27","NA"
"ODAM","ODAM","NA"
"FDCSP","FDCSP","NA"
"CSN3","CSN3","NA"
"CABS1","CABS1","NA"
"SMR3A","SMR3A","NA"
"SMR3B","SMR3B","NA"
"OPRPN","OPRPN","NA"
"MUC7","MUC7","NA"
"AMTN","AMTN","NA"
"AMBN","AMBN","NA"
"ENAM","ENAM","NA"
"JCHAIN","JCHAIN","NA"
"UTP3","UTP3","NA"
"AC009570.1","AC009570.1","NA"
"RUFY3","RUFY3","NA"
"GRSF1","GRSF1","NA"
"MOB1B","MOB1B","NA"
"DCK","DCK","NA"
"SLC4A4","SLC4A4","NA"
"GC","GC","NA"
"AC068721.1","AC068721.1","NA"
"NPFFR2","NPFFR2","NA"
"ADAMTS3","ADAMTS3","NA"
"AC095056.1","AC095056.1","NA"
"COX18","COX18","NA"
"ANKRD17","ANKRD17","NA"
"AC053527.1","AC053527.1","NA"
"ALB","ALB","NA"
"AFP","AFP","NA"
"AFM","AFM","NA"
"LINC02499","LINC02499","NA"
"RASSF6","RASSF6","NA"
"AC112518.1","AC112518.1","NA"
"CXCL8","CXCL8","NA"
"CXCL6","CXCL6","NA"
"PF4V1","PF4V1","NA"
"CXCL1","CXCL1","NA"
"PF4","PF4","NA"
"PPBP","PPBP","NA"
"CXCL5","CXCL5","NA"
"CXCL3","CXCL3","NA"
"CXCL2","CXCL2","NA"
"MTHFD2L","MTHFD2L","NA"
"AC093677.2","AC093677.2","NA"
"EPGN","EPGN","NA"
"EREG","EREG","NA"
"AC021180.1","AC021180.1","NA"
"AREG","AREG","NA"
"AC239584.1","AC239584.1","NA"
"BTC","BTC","NA"
"PARM1","PARM1","NA"
"AC110760.2","AC110760.2","NA"
"AC110760.1","AC110760.1","NA"
"LINC02562","LINC02562","NA"
"AC025244.1","AC025244.1","NA"
"AC025244.2","AC025244.2","NA"
"LINC02483","LINC02483","NA"
"AC096759.1","AC096759.1","NA"
"AC096759.2","AC096759.2","NA"
"RCHY1","RCHY1","NA"
"THAP6","THAP6","NA"
"ODAPH","ODAPH","NA"
"CDKL2","CDKL2","NA"
"G3BP2","G3BP2","NA"
"USO1","USO1","NA"
"AC110615.1","AC110615.1","NA"
"PPEF2","PPEF2","NA"
"NAAA","NAAA","NA"
"SDAD1","SDAD1","NA"
"AC112719.2","AC112719.2","NA"
"CXCL9","CXCL9","NA"
"ART3","ART3","NA"
"CXCL10","CXCL10","NA"
"CXCL11","CXCL11","NA"
"NUP54","NUP54","NA"
"SCARB2","SCARB2","NA"
"FAM47E","FAM47E","NA"
"FAM47E.STBD1","FAM47E-STBD1","NA"
"STBD1","STBD1","NA"
"CCDC158","CCDC158","NA"
"SHROOM3","SHROOM3","NA"
"AC107072.2","AC107072.2","NA"
"AC107072.1","AC107072.1","NA"
"SOWAHB","SOWAHB","NA"
"SEPT11","SEPT11","NA"
"CCNI","CCNI","NA"
"CCNG2","CCNG2","NA"
"AC092674.1","AC092674.1","NA"
"CXCL13","CXCL13","NA"
"CNOT6L","CNOT6L","NA"
"MRPL1","MRPL1","NA"
"FRAS1","FRAS1","NA"
"ANXA3","ANXA3","NA"
"LINC01094","LINC01094","NA"
"AC098818.2","AC098818.2","NA"
"BMP2K","BMP2K","NA"
"PAQR3","PAQR3","NA"
"LINC01088","LINC01088","NA"
"NAA11","NAA11","NA"
"GK2","GK2","NA"
"LINC00989","LINC00989","NA"
"AC092542.1","AC092542.1","NA"
"LINC02469","LINC02469","NA"
"PCAT4","PCAT4","NA"
"ANTXR2","ANTXR2","NA"
"AC021127.1","AC021127.1","NA"
"PRDM8","PRDM8","NA"
"FGF5","FGF5","NA"
"CFAP299","CFAP299","NA"
"BMP3","BMP3","NA"
"PRKG2","PRKG2","NA"
"AC139722.1","AC139722.1","NA"
"RASGEF1B","RASGEF1B","NA"
"AC124016.2","AC124016.2","NA"
"HNRNPD","HNRNPD","NA"
"AC124016.1","AC124016.1","NA"
"HNRNPDL","HNRNPDL","NA"
"ENOPH1","ENOPH1","NA"
"TMEM150C","TMEM150C","NA"
"LINC00575","LINC00575","NA"
"SCD5","SCD5","NA"
"SEC31A","SEC31A","NA"
"THAP9.AS1","THAP9-AS1","NA"
"THAP9","THAP9","NA"
"LIN54","LIN54","NA"
"COPS4","COPS4","NA"
"PLAC8","PLAC8","NA"
"AC114781.2","AC114781.2","NA"
"COQ2","COQ2","NA"
"HPSE","HPSE","NA"
"HELQ","HELQ","NA"
"MRPS18C","MRPS18C","NA"
"ABRAXAS1","ABRAXAS1","NA"
"GPAT3","GPAT3","NA"
"AC021192.1","AC021192.1","NA"
"AC104063.1","AC104063.1","NA"
"NKX6.1","NKX6-1","NA"
"CDS1","CDS1","NA"
"WDFY3","WDFY3","NA"
"WDFY3.AS1","WDFY3-AS1","NA"
"ARHGAP24","ARHGAP24","NA"
"MAPK10","MAPK10","NA"
"AC104827.1","AC104827.1","NA"
"PTPN13","PTPN13","NA"
"SLC10A6","SLC10A6","NA"
"C4orf36","C4ORF36","NA"
"AC093827.5","AC093827.5","NA"
"AC093827.4","AC093827.4","NA"
"AFF1","AFF1","NA"
"KLHL8","KLHL8","NA"
"AC108516.1","AC108516.1","NA"
"HSD17B13","HSD17B13","NA"
"HSD17B11","HSD17B11","NA"
"NUDT9","NUDT9","NA"
"AC112250.2","AC112250.2","NA"
"SPARCL1","SPARCL1","NA"
"AC093895.1","AC093895.1","NA"
"DSPP","DSPP","NA"
"DMP1","DMP1","NA"
"IBSP","IBSP","NA"
"MEPE","MEPE","NA"
"SPP1","SPP1","NA"
"PKD2","PKD2","NA"
