"","gene_short_name","feature"
"CAMTA1","CAMTA1","NA"
"AL512330.1","AL512330.1","NA"
"Z97987.1","Z97987.1","NA"
"AL365194.1","AL365194.1","NA"
"AL359881.3","AL359881.3","NA"
"AL359881.2","AL359881.2","NA"
"AL359881.1","AL359881.1","NA"
"VAMP3","VAMP3","NA"
"PER3","PER3","NA"
"Z98884.1","Z98884.1","NA"
"UTS2","UTS2","NA"
"TNFRSF9","TNFRSF9","NA"
"PARK7","PARK7","NA"
"AL034417.4","AL034417.4","NA"
"AL034417.3","AL034417.3","NA"
"ERRFI1","ERRFI1","NA"
"AL034417.2","AL034417.2","NA"
"LINC01714","LINC01714","NA"
"AL358876.2","AL358876.2","NA"
"SLC45A1","SLC45A1","NA"
"RERE","RERE","NA"
"AL096855.1","AL096855.1","NA"
"AL357552.2","AL357552.2","NA"
"ENO1","ENO1","NA"
"ENO1.AS1","ENO1-AS1","NA"
"CA6","CA6","NA"
"SLC2A7","SLC2A7","NA"
"SLC2A5","SLC2A5","NA"
"GPR157","GPR157","NA"
"MIR34AHG","MIR34AHG","NA"
"LINC01759","LINC01759","NA"
"H6PD","H6PD","NA"
"SPSB1","SPSB1","NA"
"BX323043.1","BX323043.1","NA"
"AL928921.2","AL928921.2","NA"
"AL928921.1","AL928921.1","NA"
"SLC25A33","SLC25A33","NA"
"TMEM201","TMEM201","NA"
"PIK3CD","PIK3CD","NA"
"PIK3CD.AS1","PIK3CD-AS1","NA"
"PIK3CD.AS2","PIK3CD-AS2","NA"
"CLSTN1","CLSTN1","NA"
"CTNNBIP1","CTNNBIP1","NA"
"AL357140.1","AL357140.1","NA"
"LZIC","LZIC","NA"
"NMNAT1","NMNAT1","NA"
"RBP7","RBP7","NA"
"UBE4B","UBE4B","NA"
"KIF1B","KIF1B","NA"
"AL139424.3","AL139424.3","NA"
"AL139424.2","AL139424.2","NA"
"PGD","PGD","NA"
"AL139424.1","AL139424.1","NA"
"CENPS.CORT","CENPS-CORT","NA"
"CENPS","CENPS","NA"
"CORT","CORT","NA"
"DFFA","DFFA","NA"
"AL354956.1","AL354956.1","NA"
"PEX14","PEX14","NA"
"CASZ1","CASZ1","NA"
"AL139423.1","AL139423.1","NA"
"C1orf127","C1ORF127","NA"
"TARDBP","TARDBP","NA"
"AL109811.4","AL109811.4","NA"
"MASP2","MASP2","NA"
"AL109811.3","AL109811.3","NA"
"SRM","SRM","NA"
"EXOSC10","EXOSC10","NA"
"AL109811.1","AL109811.1","NA"
"AL109811.2","AL109811.2","NA"
"MTOR","MTOR","NA"
"MTOR.AS1","MTOR-AS1","NA"
"ANGPTL7","ANGPTL7","NA"
"UBIAD1","UBIAD1","NA"
"AL031291.1","AL031291.1","NA"
"DISP3","DISP3","NA"
"LINC01647","LINC01647","NA"
"AL031731.1","AL031731.1","NA"
"FBXO2","FBXO2","NA"
"FBXO44","FBXO44","NA"
"FBXO6","FBXO6","NA"
"MAD2L2","MAD2L2","NA"
"DRAXIN","DRAXIN","NA"
"AGTRAP","AGTRAP","NA"
"C1orf167","C1ORF167","NA"
"AL953897.1","AL953897.1","NA"
"MTHFR","MTHFR","NA"
"CLCN6","CLCN6","NA"
